epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,40099.2,0.55542,0.60639,0.72557,0.73893,0.7814,0.80568,0.54675,0.35523,0.34287,0.5186,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,41336.9,0.5594,0.61472,0.72208,0.79975,0.7907,0.80632,0.54514,0.37208,0.34609,0.56159,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,42573.6,0.5289,0.58691,0.70683,0.80379,0.77674,0.79981,0.55395,0.3636,0.34161,0.51692,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,43808.6,0.53051,0.58643,0.70607,0.78139,0.73023,0.77647,0.56082,0.37246,0.37263,0.53346,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,45045.1,0.52177,0.56757,0.69614,0.70665,0.76279,0.79376,0.58272,0.3532,0.37925,0.52001,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,46279.1,0.51545,0.57545,0.69484,0.81115,0.69302,0.78621,0.52978,0.34273,0.35712,0.51338,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,47518.8,0.54392,0.58381,0.72367,0.81655,0.7907,0.82581,0.58535,0.32413,0.33275,0.49788,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,48755.4,0.52262,0.55698,0.70335,0.73663,0.75451,0.78844,0.5408,0.3285,0.37534,0.48672,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,49989.5,0.522,0.57165,0.69497,0.88,0.7814,0.87311,0.66503,0.31959,0.30087,0.49566,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,51228.4,0.51323,0.53787,0.69825,0.85035,0.76744,0.84629,0.61802,0.32306,0.31862,0.4986,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,52459.4,0.51379,0.5367,0.68819,0.65674,0.7297,0.71611,0.46928,0.3743,0.39205,0.5431,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,53690.8,0.51111,0.55388,0.68517,0.84372,0.74419,0.82664,0.59968,0.36692,0.3407,0.53506,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
